疾病編號,疾病,層面,欄位,值,來源（具名文件）,資料日期,涵蓋區域,衝突或適用條件註記
,,人類,人類致死率（未治療）,,,,,
,,人類,重症或長期失能比例,,,,,
,,人類,人類年通報數／發生率,,,,,
,,人類,人傳人能力,,,,,
,,人類,高風險／易感族群衝擊,,,,,
,,人類,法定傳染病分類／通報層級,,,,,
,,動物,動物族群致死率,,,,,
,,動物,畜禽生產衝擊,,,,,
,,動物,宿主範圍廣度,,,,,
,,動物,WOAH 通報疾病,,,,,
,,動物,國內動物疫情活躍度,,,,,
,,動物,野生動物保毒宿主,,,,,
,,環境,病媒存在與氣候適生性,,,,,
,,環境,環境存活／持久性,,,,,
,,環境,氣候變遷敏感度,,,,,
,,環境,跨境／境外移入風險,,,,,
,,食安與抗藥性,食品鏈傳播關聯,,,,,
,,食安與抗藥性,抗微生物抗藥性關聯,,,,,
,,食安與抗藥性,食安事件頻率,,,,,
,,量能與可控性,人用疫苗,,,,,
,,量能與可控性,動物疫苗,,,,,
,,量能與可控性,人用有效治療,,,,,
,,量能與可控性,實驗室診斷量能,,,,,
,,量能與可控性,雙部門監測量能,,,,,★ 阻斷項：機關內部資料，本次不填、不得上傳
,,量能與可控性,防治可行性（綜合）,,,,,
,,量能與可控性,跨部門協作現況,,,,,
,,社會安全,生物恐怖／管制病原,,,,,
,,社會安全,經濟總負擔,,,,,
,,社會安全,社會關注／媒體顯著度,,,,,
,,社會安全,職業暴露風險,,,,,
