"編號","中文名","英文名","人：法定分類","動：法定動物傳染病","WOAH","國內疫情","國際／大流行","嚴重度","傳播特性","疫苗／治療","來源","查證日","納入理由","待查項目"
"1","狂犬病","Rabies","待查：疾管署現行分類頁","是（乙類）","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","中樞神經受侵犯且臨床症狀出現後幾近100%致死；不是所有暴露者","哺乳動物唾液、咬傷或抓傷傳播","人用與犬用疫苗、暴露後預防；不能當成發病後有效治療","WHO Rabies（資料日期：2024-06-05） https://www.who.int/news-room/fact-sheets/detail/rabies；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10","對應（8）傳播特性：哺乳動物唾液、咬傷或抓傷傳播；另對應（2）法定動物傳染病。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"2","鼠疫","Plague","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","未治療肺鼠疫可致死；不同臨床型別不可共用單一比率","小型哺乳類與跳蚤；肺鼠疫可經飛沫人傳人","及早使用抗生素可有效治療；疫苗適用性另查","WHO Plague（資料日期：2022-07-07） https://www.who.int/news-room/fact-sheets/detail/plague","2026-09-10","對應（8）傳播特性：小型哺乳類與跳蚤；肺鼠疫可經飛沫人傳人。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"3","新型 A 型流感（H5N1／H7N9）","Novel influenza A (H5N1/H7N9)","待查：疾管署現行分類頁","高病原性家禽流感為甲類；H5/H7 低病原性為乙類","待查","待查：防檢署及 NIDSS","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","動物流感病毒可經動物接觸感染人；本列限定 H5N1／H7N9，不代表所有新型 A 型流感","待查：依本列具名來源逐格補查","WHO Avian and other zoonotic influenza（資料日期：待查：本次未取得頁面發布日） https://www.who.int/health-topics/influenza-avian-and-other-zoonotic；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10","對應（8）傳播特性：動物流感病毒可經動物接觸感染人；本列限定 H5N1／H7N9，不代表所有新型 A 型流感；另對應（2）法定動物傳染病。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"4","立百病毒感染症","Nipah virus infection","待查：疾管署現行分類頁","是（乙類：立百病毒腦炎）","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","果蝠為自然宿主；可由動物、污染食品或人際接觸傳播","WHO 2026-01-29：尚無獲准專一藥物或疫苗；支持療法不等於專一治療","WHO Nipah virus（資料日期：2026-01-29） https://www.who.int/news-room/fact-sheets/detail/nipah-virus；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10","對應（8）傳播特性：果蝠為自然宿主；可由動物、污染食品或人際接觸傳播；另對應（2）法定動物傳染病。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"5","中東呼吸症候群冠狀病毒感染症","Middle East respiratory syndrome","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","單峰駱駝與人之間傳播；可於醫療院所或家庭人傳人","WHO 2025-12-11：無獲准專一治療或疫苗","WHO Middle East respiratory syndrome coronavirus (MERS-CoV)（資料日期：2025-12-11） https://www.who.int/news-room/fact-sheets/detail/middle-east-respiratory-syndrome-coronavirus-(mers-cov)","2026-09-10","對應（8）傳播特性：單峰駱駝與人之間傳播；可於醫療院所或家庭人傳人。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"6","炭疽病","Anthrax","待查：疾管署現行分類頁","是（乙類）","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","感染動物或受污染動物產品相關暴露","待查：依本列具名來源逐格補查","US CDC About Anthrax（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/anthrax/about/index.html；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10","對應（8）傳播特性：感染動物或受污染動物產品相關暴露；另對應（2）法定動物傳染病。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"7","漢他病毒症候群","Hantavirus syndrome","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","接觸齧齒類尿液、糞便或唾液；不同病毒型別的人傳人能力需分開查","待查：依本列具名來源逐格補查","US CDC About Hantavirus（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/hantavirus/about/index.html","2026-09-10","對應（8）傳播特性：接觸齧齒類尿液、糞便或唾液；不同病毒型別的人傳人能力需分開查。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"8","西尼羅熱","West Nile fever","待查：疾管署現行分類頁","是（乙類）","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","鳥類為保毒宿主；蚊媒傳播","待查：依本列具名來源逐格補查","WHO West Nile virus（資料日期：待查：本次未摘錄發布日） https://www.who.int/news-room/fact-sheets/detail/west-nile-virus；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10","對應（8）傳播特性：鳥類為保毒宿主；蚊媒傳播；另對應（2）法定動物傳染病。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"9","腸道出血性大腸桿菌感染症","Enterohemorrhagic Escherichia coli infection","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","STEC 主要保毒宿主為牛等反芻動物；本列聚焦產志賀毒素且與出血性腸炎相關者","待查：依本列具名來源逐格補查","WHO E. coli（資料日期：待查：本次未摘錄發布日） https://www.who.int/news-room/fact-sheets/detail/e-coli","2026-09-10","對應（8）傳播特性：STEC 主要保毒宿主為牛等反芻動物；本列聚焦產志賀毒素且與出血性腸炎相關者。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"10","M 痘","Mpox","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","動物至人與人際接觸傳播；自然保毒宿主仍未確定","待查：依本列具名來源逐格補查","WHO Mpox（資料日期：待查：本次未摘錄發布日） https://www.who.int/news-room/fact-sheets/detail/mpox","2026-09-10","對應（8）傳播特性：動物至人與人際接觸傳播；自然保毒宿主仍未確定。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
