"疾病編號","疾病","層面","欄位","值","來源（文件名稱與網址）","資料日期","適用地區","來源差異或使用條件說明"
"1","狂犬病","人類","人類致死率（未治療）","臨床症狀出現後幾近 100% 致死；不是所有暴露者。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","人類","重症或長期失能比例","臨床發病後為急性腦炎；長期失能比例本次未另摘錄。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","人類","人類年通報數／發生率","待查：NIDSS 逐病互動查詢，由疾病監測承辦人補。","疾管署 NIDSS 傳染病統計資料查詢系統 https://nidss.cdc.gov.tw/","待查：須記錄實際查詢日","我國","本次未執行逐病互動查詢；待查不代表零。由疾病監測或動物衛生承辦人補，並記錄實際查詢日。"
"1","狂犬病","人類","人傳人能力","一般不經人傳人；罕見器官移植傳播需與一般暴露分開看。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","人類","高風險／易感族群衝擊","被疑似感染哺乳動物咬傷或抓傷者；兒童暴露風險需依場景評估。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","人類","法定傳染病分類／通報層級","待查：依主管機關現行資料逐病核對。","疾管署／農業部現行法規與公告入口 https://www.cdc.gov.tw/；https://www.moa.gov.tw/","待查：須記錄實際查詢日","我國","本次未執行逐病互動查詢；待查不代表零。由疾病監測或動物衛生承辦人補，並記錄實際查詢日。"
"1","狂犬病","動物","動物族群致死率","待查：本次來源未提供動物族群致死率的可比較分母與比例。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","動物","畜禽生產衝擊","犬隻等動物死亡及暴露後討論結果可能造成成本；量化待查。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","動物","宿主範圍廣度","多種哺乳類可感染與傳播。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","動物","WOAH 通報疾病","待查：依 WOAH Terrestrial Animal Health Code 第 1.3 章逐病核對。","WOAH Terrestrial Animal Health Code https://www.woah.org/en/what-we-do/standards/codes-and-manuals/terrestrial-code-online-access/","待查：實際閱讀並核對日","全球","疾病專頁或舊網頁不等於現行 Listed disease；由動物衛生或 WOAH 聯絡窗口補核。"
"1","狂犬病","動物","國內動物疫情活躍度","待查：依主管機關現行資料逐病核對。","疾管署／農業部現行法規與公告入口 https://www.cdc.gov.tw/；https://www.moa.gov.tw/","待查：須記錄實際查詢日","我國","本次未執行逐病互動查詢；待查不代表零。由疾病監測或動物衛生承辦人補，並記錄實際查詢日。"
"1","狂犬病","動物","野生動物保毒宿主","美洲部分地區吸血蝙蝠為人類感染的重要來源；其他野生哺乳類相關人類死亡罕見，地區條件需保留。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","環境","病媒存在與氣候適生性","非病媒傳播；以感染哺乳動物唾液的咬傷或抓傷為主。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","環境","環境存活／持久性","本次未蒐集。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","環境","氣候變遷敏感度","本次未蒐集：待查 氣候變遷敏感度 的可比較定義與資料。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"1","狂犬病","環境","跨境／境外移入風險","本次未蒐集：待查 跨境／境外移入風險 的可比較定義與資料。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"1","狂犬病","食安與抗藥性","食品鏈傳播關聯","本次未蒐集：待查 食品鏈傳播關聯 的可比較定義與資料。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"1","狂犬病","食安與抗藥性","抗微生物抗藥性關聯","本次未蒐集：待查 抗微生物抗藥性關聯 的可比較定義與資料。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"1","狂犬病","食安與抗藥性","食安事件頻率","本次未蒐集：待查 食安事件頻率 的可比較定義與資料。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"1","狂犬病","防治能力與資源","人用疫苗","有人用疫苗與暴露後預防；發病後不能當作有效治療。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","防治能力與資源","動物疫苗","有犬用疫苗；覆蓋率與我國是否容易取得待查。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","防治能力與資源","人用有效治療","發病後無公認有效特異治療；暴露後預防可避免發病。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","防治能力與資源","實驗室診斷能力與資源","待查：我國人、動物實驗室檢驗流程與是否容易取得。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","防治能力與資源","兩部門監測能力與資源","待補資料（補齊前不計分）：本次不評核，不能由公開頁面推論兩部門整合能力與資源。","疾管署與農業部官方入口（僅供負責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/","不適用（本次不評核）","我國","2026-09-10 演練討論結果：本次工作坊不使用此欄評分；不宣稱所有能力與資源資料均非公開，只是不以零散公開資訊推定內部整合能力與資源。由疾管署與農業部負責人員依核准流程補。"
"1","狂犬病","防治能力與資源","防治可行性（綜合）","犬隻疫苗、暴露後預防與咬傷後討論結果為主要可控措施。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","防治能力與資源","跨部門合作現況","待查：本次未蒐集跨部門合作現況。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","社會安全","生物恐怖／管制病原","待查：依我國法規與管制清單核對。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","社會安全","經濟總負擔","待查：我國或全球疾病負擔估計。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","社會安全","社會關注／媒體顯著度","待查：以可重現的媒體資料庫或調查量測。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"1","狂犬病","社會安全","職業暴露風險","獸醫、動物管制、野生動物處理及實驗室人員可能暴露。","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies","2024-06-05","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","人類","人類致死率（未治療）","未治療肺鼠疫可快速致死；不同臨床型別不可共用單一比例。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","人類","重症或長期失能比例","肺鼠疫可嚴重且具人傳人風險；比例待依型別查。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","人類","人類年通報數／發生率","待查：NIDSS 逐病互動查詢，由疾病監測承辦人補。","疾管署 NIDSS 傳染病統計資料查詢系統 https://nidss.cdc.gov.tw/","待查：須記錄實際查詢日","我國","本次未執行逐病互動查詢；待查不代表零。由疾病監測或動物衛生承辦人補，並記錄實際查詢日。"
"2","鼠疫","人類","人傳人能力","肺鼠疫可經飛沫人傳人；腺鼠疫通常不以此方式傳播。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
