"編號","疾病","處置（保留／本輪不納入）","理由","依據欄位","來源","查證日","資料缺口","缺口補齊後可能怎麼變","課堂建議提案組別","正式審查結果（留空）","狀態註記"
"1","狂犬病","待人工決定","01 的候選依據為：哺乳動物唾液、咬傷或抓傷傳播。02 有 10 列不帶缺口標記，可供課堂討論；例如「人類致死率（未治療）」記載「臨床症狀出現後幾近 100% 致死；不是所有暴露者。」。本表僅整理，去留待人工決定。","01：1／傳播特性；02：1／人類／人類致死率（未治療）；02：1／人類／人傳人能力；02：1／人類／高風險／易感族群衝擊；02：1／人類／人類年通報數／發生率（缺口）","WHO Rabies（資料日期：2024-06-05） https://www.who.int/news-room/fact-sheets/detail/rabies；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 20 列帶缺口標記（部分另有參考值）：重症或長期失能比例、人類年通報數／發生率、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、WOAH 通報疾病、國內動物疫情活躍度、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、動物疫苗、實驗室診斷量能、雙部門監測量能、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"2","鼠疫","待人工決定","01 的候選依據為：小型哺乳類與跳蚤；肺鼠疫可經飛沫人傳人。02 有 9 列不帶缺口標記，可供課堂討論；例如「人類致死率（未治療）」記載「未治療肺鼠疫可快速致死；不同臨床型別不可共用單一比例。」。本表僅整理，去留待人工決定。","01：2／傳播特性；02：2／人類／人類致死率（未治療）；02：2／人類／重症或長期失能比例；02：2／人類／人傳人能力；02：2／人類／人類年通報數／發生率（缺口）","WHO Plague（資料日期：2022-07-07） https://www.who.int/news-room/fact-sheets/detail/plague","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 21 列帶缺口標記（部分另有參考值）：人類年通報數／發生率、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、實驗室診斷量能、雙部門監測量能、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"3","新型 A 型流感（H5N1／H7N9）","待人工決定","01 的候選依據為：動物流感病毒可經動物接觸感染人；本列限定 H5N1／H7N9，不代表所有新型 A 型流感。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：3／傳播特性；02：3／人類／人類年通報數／發生率（缺口）","WHO Avian and other zoonotic influenza（資料日期：待查：本次未取得頁面發布日） https://www.who.int/health-topics/influenza-avian-and-other-zoonotic；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"4","立百病毒感染症","待人工決定","01 的候選依據為：果蝠為自然宿主；可由動物、污染食品或人際接觸傳播。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：4／傳播特性；02：4／人類／人類年通報數／發生率（缺口）","WHO Nipah virus（資料日期：2026-01-29） https://www.who.int/news-room/fact-sheets/detail/nipah-virus；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"5","中東呼吸症候群冠狀病毒感染症","待人工決定","01 的候選依據為：單峰駱駝與人之間傳播；可於醫療院所或家庭人傳人。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：5／傳播特性；02：5／人類／人類年通報數／發生率（缺口）","WHO Middle East respiratory syndrome coronavirus (MERS-CoV)（資料日期：2025-12-11） https://www.who.int/news-room/fact-sheets/detail/middle-east-respiratory-syndrome-coronavirus-(mers-cov)","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"6","炭疽病","待人工決定","01 的候選依據為：感染動物或受污染動物產品相關暴露。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：6／傳播特性；02：6／人類／人類年通報數／發生率（缺口）","US CDC About Anthrax（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/anthrax/about/index.html；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"7","漢他病毒症候群","待人工決定","01 的候選依據為：接觸齧齒類尿液、糞便或唾液；不同病毒型別的人傳人能力需分開查。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：7／傳播特性；02：7／人類／人類年通報數／發生率（缺口）","US CDC About Hantavirus（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/hantavirus/about/index.html","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"8","西尼羅熱","待人工決定","01 的候選依據為：鳥類為保毒宿主；蚊媒傳播。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：8／傳播特性；02：8／人類／人類年通報數／發生率（缺口）","WHO West Nile virus（資料日期：待查：本次未摘錄發布日） https://www.who.int/news-room/fact-sheets/detail/west-nile-virus；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"9","腸道出血性大腸桿菌感染症","待人工決定","01 的候選依據為：STEC 主要保毒宿主為牛等反芻動物；本列聚焦產志賀毒素且與出血性腸炎相關者。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：9／傳播特性；02：9／人類／人類年通報數／發生率（缺口）","WHO E. coli（資料日期：待查：本次未摘錄發布日） https://www.who.int/news-room/fact-sheets/detail/e-coli","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"10","M 痘","待人工決定","01 的候選依據為：動物至人與人際接觸傳播；自然保毒宿主仍未確定。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：10／傳播特性；02：10／人類／人類年通報數／發生率（缺口）","WHO Mpox（資料日期：待查：本次未摘錄發布日） https://www.who.int/news-room/fact-sheets/detail/mpox","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
