"疾病編號","疾病","題目編號","答案或待查","分數或空白","依據欄位","具名來源","理由"
"1","狂犬病","C1",">10%","1","人類致死率（未治療）","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies；2024-06-05","臨床症狀出現後幾近 100% 致死；僅限發病後條件，非所有暴露者。"
"1","狂犬病","C2","待查","","人傳人能力","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies；2024-06-05","一般不經人傳人但有罕見器官移植傳播；該稀有途徑是否計入本題範圍待人工決定。"
"1","狂犬病","C3","兩項以上","1","人用疫苗；動物疫苗；人用有效治療","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies；2024-06-05","全球資料支持人用疫苗與犬用疫苗；發病後無公認有效特異治療，PEP 未計為治療。"
"1","狂犬病","C4","待查","","動物族群致死率；畜禽生產衝擊","WHO Rabies https://www.who.int/news-room/fact-sheets/detail/rabies；2024-06-05","動物死亡與成本描述未提供可比較比例；不能填否。"
"1","狂犬病","C5","待查","","雙部門監測量能","待查入口，未據此判定量能：疾管署與農業部官方入口（僅供權責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/；不適用（本次不評核）","資料缺口（阻斷項）；本次不評核且不計分。"
"2","鼠疫","C1","待查","","人類致死率（未治療）","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague；2022-07-07","僅稱未治療肺鼠疫可快速致死，未提供符合本題的單一比例；不同臨床型別不可共用。"
"2","鼠疫","C2","待查","","人傳人能力","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague；2022-07-07","肺鼠疫可經飛沫人傳人，但 02 未提供可持續性的上限證據；不能因缺上限而斷定僅有限。"
"2","鼠疫","C3","待查","","人用疫苗；動物疫苗；人用有效治療","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague；2022-07-07","已知及早抗生素可有效治療，但兩類疫苗均待查；不得把一有兩未知填成僅一項。"
"2","鼠疫","C4","待查","","動物族群致死率；畜禽生產衝擊","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague；2022-07-07","動物死亡率依物種而異且待查，畜禽生產衝擊亦待查。"
"2","鼠疫","C5","待查","","雙部門監測量能","待查入口，未據此判定量能：疾管署與農業部官方入口（僅供權責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/；不適用（本次不評核）","資料缺口（阻斷項）；本次不評核且不計分。"
"3","新型 A 型流感（H5N1／H7N9）","C1","待查","","人類致死率（未治療）","背景表待查線索，非本題已驗證證據：WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic；待查：本次未取得頁面發布日","02 未蒐集符合題幹的疾病別未治療致死率；不以通報 CFR 代填。"
"3","新型 A 型流感（H5N1／H7N9）","C2","待查","","人傳人能力","背景表待查線索，非本題已驗證證據：WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic；待查：本次未取得頁面發布日","02 未蒐集疾病別人傳人能力；不能由未持續傳播推為無人傳人。"
"3","新型 A 型流感（H5N1／H7N9）","C3","待查","","人用疫苗；動物疫苗；人用有效治療","背景表待查線索，非本題已驗證證據：WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic；待查：本次未取得頁面發布日","三項工具均未蒐集；不得推測。"
