id,中文,原始英文,納入依據,範圍
D01,炭疽病,Anthrax,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D02,牛結核病,Bovine Tuberculosis,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D03,布氏桿菌病,Brucellosis,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D04,囊蟲病,Cysticercosis,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D05,腸道病原集合,"Enteric Pathogens (Salmonella, E. coli, Campylobacter, Giardia, Cryptosporidium)",Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D06,漢他病毒,Hantavirus,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D07,E 型肝炎病毒,Hepatitis E virus,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D08,日本腦炎,Japanese Encephalitis virus,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D09,鉤端螺旋體病,Leptospirosis,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D10,萊姆病,Lyme disease,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D11,類鼻疽,Melioidosis,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D12,立百病毒,Nipah virus,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D13,鼠疫,Plague,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D14,Q 熱,Q Fever,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D15,狂犬病,Rabies,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D16,蜱傳腦炎病毒,Tick-borne encephalitis virus,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
D17,西尼羅病毒,West Nile virus,Rist 2014 Table S1 原始候選項目,文獻虛構國家試行，非臺灣核定
