id,疾病,criteria_id,背景面向,原始答案含註記,標準化答案,直接來源定位,適用範圍,證據層級,原作者建議查詢來源,移植臺灣時
D01,炭疽病,C1,人類嚴重度,Yes,Yes,Table S4 disease row Anthrax; Table S2 Human Morbidity/Mortality,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO",臺灣當期資料須另查，不用本欄代填
D01,炭疽病,C2,食用動物死亡與生產衝擊,Yes,Yes,Table S4 disease row Anthrax; Table S2 Food Security,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- FAO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D01,炭疽病,C3,防治可行性,AND,AND,Table S4 disease row Anthrax; Table S2 Ability to Prevent/Control,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D01,炭疽病,C4,部門協作條件,OR (animal),OR,Table S4 disease row Anthrax; Table S2 Amenability to Collaborate,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- Inquiry to ‘Country X’,臺灣當期資料須另查，不用本欄代填
D01,炭疽病,C5,生物恐怖相關清單,Yes,Yes,Table S4 disease row Anthrax; Table S2 Bioterrorism,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- CDC,臺灣當期資料須另查，不用本欄代填
D02,牛結核病,C1,人類嚴重度,Yes,Yes,Table S4 disease row Bovine Tuberculosis; Table S2 Human Morbidity/Mortality,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO",臺灣當期資料須另查，不用本欄代填
D02,牛結核病,C2,食用動物死亡與生產衝擊,No,No,Table S4 disease row Bovine Tuberculosis; Table S2 Food Security,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- FAO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D02,牛結核病,C3,防治可行性,AND,AND,Table S4 disease row Bovine Tuberculosis; Table S2 Ability to Prevent/Control,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D02,牛結核病,C4,部門協作條件,No,No,Table S4 disease row Bovine Tuberculosis; Table S2 Amenability to Collaborate,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- Inquiry to ‘Country X’,臺灣當期資料須另查，不用本欄代填
D02,牛結核病,C5,生物恐怖相關清單,No,No,Table S4 disease row Bovine Tuberculosis; Table S2 Bioterrorism,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- CDC,臺灣當期資料須另查，不用本欄代填
D03,布氏桿菌病,C1,人類嚴重度,No,No,Table S4 disease row Brucellosis; Table S2 Human Morbidity/Mortality,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO",臺灣當期資料須另查，不用本欄代填
D03,布氏桿菌病,C2,食用動物死亡與生產衝擊,Yes,Yes,Table S4 disease row Brucellosis; Table S2 Food Security,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- FAO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D03,布氏桿菌病,C3,防治可行性,AND,AND,Table S4 disease row Brucellosis; Table S2 Ability to Prevent/Control,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D03,布氏桿菌病,C4,部門協作條件,AND,AND,Table S4 disease row Brucellosis; Table S2 Amenability to Collaborate,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- Inquiry to ‘Country X’,臺灣當期資料須另查，不用本欄代填
D03,布氏桿菌病,C5,生物恐怖相關清單,Yes,Yes,Table S4 disease row Brucellosis; Table S2 Bioterrorism,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- CDC,臺灣當期資料須另查，不用本欄代填
D04,囊蟲病,C1,人類嚴重度,Yes,Yes,Table S4 disease row Cysticercosis; Table S2 Human Morbidity/Mortality,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO",臺灣當期資料須另查，不用本欄代填
D04,囊蟲病,C2,食用動物死亡與生產衝擊,No,No,Table S4 disease row Cysticercosis; Table S2 Food Security,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- FAO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D04,囊蟲病,C3,防治可行性,OR (human),OR,Table S4 disease row Cysticercosis; Table S2 Ability to Prevent/Control,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D04,囊蟲病,C4,部門協作條件,No,No,Table S4 disease row Cysticercosis; Table S2 Amenability to Collaborate,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- Inquiry to ‘Country X’,臺灣當期資料須另查，不用本欄代填
D04,囊蟲病,C5,生物恐怖相關清單,No,No,Table S4 disease row Cysticercosis; Table S2 Bioterrorism,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- CDC,臺灣當期資料須另查，不用本欄代填
D05,腸道病原集合,C1,人類嚴重度,No,No,Table S4 disease row Enteric Pathogens; Table S2 Human Morbidity/Mortality,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO",臺灣當期資料須另查，不用本欄代填
D05,腸道病原集合,C2,食用動物死亡與生產衝擊,No,No,Table S4 disease row Enteric Pathogens; Table S2 Food Security,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- FAO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D05,腸道病原集合,C3,防治可行性,OR (humans),OR,Table S4 disease row Enteric Pathogens; Table S2 Ability to Prevent/Control,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D05,腸道病原集合,C4,部門協作條件,OR (human),OR,Table S4 disease row Enteric Pathogens; Table S2 Amenability to Collaborate,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- Inquiry to ‘Country X’,臺灣當期資料須另查，不用本欄代填
D05,腸道病原集合,C5,生物恐怖相關清單,Yes,Yes,Table S4 disease row Enteric Pathogens; Table S2 Bioterrorism,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- CDC,臺灣當期資料須另查，不用本欄代填
D06,漢他病毒,C1,人類嚴重度,Yes,Yes,Table S4 disease row Hantavirus; Table S2 Human Morbidity/Mortality,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO",臺灣當期資料須另查，不用本欄代填
D06,漢他病毒,C2,食用動物死亡與生產衝擊,No,No,Table S4 disease row Hantavirus; Table S2 Food Security,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- FAO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D06,漢他病毒,C3,防治可行性,No,No,Table S4 disease row Hantavirus; Table S2 Ability to Prevent/Control,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO 
- OIE
- Center for Food Security and Public Health- Iowa State",臺灣當期資料須另查，不用本欄代填
D06,漢他病毒,C4,部門協作條件,No,No,Table S4 disease row Hantavirus; Table S2 Amenability to Collaborate,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- Inquiry to ‘Country X’,臺灣當期資料須另查，不用本欄代填
D06,漢他病毒,C5,生物恐怖相關清單,Yes,Yes,Table S4 disease row Hantavirus; Table S2 Bioterrorism,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,- CDC,臺灣當期資料須另查，不用本欄代填
D07,E 型肝炎病毒,C1,人類嚴重度,No,No,Table S4 disease row Hepatitis E virus; Table S2 Human Morbidity/Mortality,2014 文獻試行,原研究公布的判答；不是原始流行病學數據,"- CDC 
- WHO",臺灣當期資料須另查，不用本欄代填
