"id","疾病","課堂討論結果","理由","正式核定狀態"
"D01","炭疽病","保留","教學範圍預先限定八項細菌性疾病，另以囊蟲病與狂犬病比較不同病原類型","課程示範決策，非機關審查"
"D02","牛結核病","保留","教學範圍預先限定八項細菌性疾病，另以囊蟲病與狂犬病比較不同病原類型","課程示範決策，非機關審查"
"D03","布氏桿菌病","保留","教學範圍預先限定八項細菌性疾病，另以囊蟲病與狂犬病比較不同病原類型","課程示範決策，非機關審查"
"D04","囊蟲病","保留","教學範圍預先限定八項細菌性疾病，另以囊蟲病與狂犬病比較不同病原類型","課程示範決策，非機關審查"
"D05","腸道病原集合","本次不納入","超出本次課堂選定的範圍；仍保留在原文 17 項驗算，未判定較不重要","課程示範決策，非機關審查"
"D06","漢他病毒","本次不納入","超出本次課堂選定的範圍；仍保留在原文 17 項驗算，未判定較不重要","課程示範決策，非機關審查"
"D07","E 型肝炎病毒","本次不納入","超出本次課堂選定的範圍；仍保留在原文 17 項驗算，未判定較不重要","課程示範決策，非機關審查"
"D08","日本腦炎","本次不納入","超出本次課堂選定的範圍；仍保留在原文 17 項驗算，未判定較不重要","課程示範決策，非機關審查"
"D09","鉤端螺旋體病","保留","教學範圍預先限定八項細菌性疾病，另以囊蟲病與狂犬病比較不同病原類型","課程示範決策，非機關審查"
"D10","萊姆病","保留","教學範圍預先限定八項細菌性疾病，另以囊蟲病與狂犬病比較不同病原類型","課程示範決策，非機關審查"
"D11","類鼻疽","保留","教學範圍預先限定八項細菌性疾病，另以囊蟲病與狂犬病比較不同病原類型","課程示範決策，非機關審查"
"D12","立百病毒","本次不納入","超出本次課堂選定的範圍；仍保留在原文 17 項驗算，未判定較不重要","課程示範決策，非機關審查"
"D13","鼠疫","保留","教學範圍預先限定八項細菌性疾病，另以囊蟲病與狂犬病比較不同病原類型","課程示範決策，非機關審查"
"D14","Q 熱","保留","教學範圍預先限定八項細菌性疾病，另以囊蟲病與狂犬病比較不同病原類型","課程示範決策，非機關審查"
"D15","狂犬病","保留","教學範圍預先限定八項細菌性疾病，另以囊蟲病與狂犬病比較不同病原類型","課程示範決策，非機關審查"
"D16","蜱傳腦炎病毒","本次不納入","超出本次課堂選定的範圍；仍保留在原文 17 項驗算，未判定較不重要","課程示範決策，非機關審查"
"D17","西尼羅病毒","本次不納入","超出本次課堂選定的範圍；仍保留在原文 17 項驗算，未判定較不重要","課程示範決策，非機關審查"
