participant,left,right,left_over_right
P1,C1,C2,3
P1,C1,C3,1
P1,C1,C4,4
P1,C1,C5,3
P1,C2,C3,1
P1,C2,C4,1
P1,C2,C5,2
P1,C3,C4,3
P1,C3,C5,3
P1,C4,C5,0.3333333333333333
P2,C1,C2,3
P2,C1,C3,2
P2,C1,C4,2
P2,C1,C5,4
P2,C2,C3,0.5
P2,C2,C4,0.3333333333333333
P2,C2,C5,2
P2,C3,C4,0.5
P2,C3,C5,3
P2,C4,C5,4
P3,C1,C2,8
P3,C1,C3,9
P3,C1,C4,5
P3,C1,C5,2
P3,C2,C3,2
P3,C2,C4,0.2
P3,C2,C5,0.2
P3,C3,C4,0.25
P3,C3,C5,0.125
P3,C4,C5,0.14285714285714285
P4,C1,C2,0.3333333333333333
P4,C1,C3,0.1111111111111111
P4,C1,C4,1
P4,C1,C5,3
P4,C2,C3,0.3333333333333333
P4,C2,C4,5
P4,C2,C5,8
P4,C3,C4,6
P4,C3,C5,9
P4,C4,C5,3
P5,C1,C2,5
P5,C1,C3,3
P5,C1,C4,7
P5,C1,C5,9
P5,C2,C3,0.3333333333333333
P5,C2,C4,3
P5,C2,C5,5
P5,C3,C4,4
P5,C3,C5,7
P5,C4,C5,2
P6,C1,C2,4
P6,C1,C3,0.3333333333333333
P6,C1,C4,8
P6,C1,C5,6
P6,C2,C3,0.2
P6,C2,C4,5
P6,C2,C5,4
P6,C3,C4,8
P6,C3,C5,7
P6,C4,C5,0.5
