id,疾病,名次,原始分數,正規化精確值,正規化,原文三位小數
D01,炭疽病,1,43/3,1,1.0,1.000
D08,日本腦炎,2,14,42/43,0.9767441860465116,0.977
D09,鉤端螺旋體病,2,14,42/43,0.9767441860465116,0.977
D15,狂犬病,4,11,33/43,0.7674418604651163,0.767
D13,鼠疫,5,32/3,32/43,0.7441860465116279,0.744
D03,布氏桿菌病,6,10,30/43,0.6976744186046512,0.698
D12,立百病毒,6,10,30/43,0.6976744186046512,0.698
D02,牛結核病,8,29/3,29/43,0.6744186046511628,0.674
D11,類鼻疽,9,28/3,28/43,0.6511627906976745,0.651
D17,西尼羅病毒,10,9,27/43,0.627906976744186,0.628
D14,Q 熱,11,26/3,26/43,0.6046511627906976,0.605
D04,囊蟲病,12,25/3,25/43,0.5813953488372093,0.581
D10,萊姆病,12,25/3,25/43,0.5813953488372093,0.581
D06,漢他病毒,14,8,24/43,0.5581395348837209,0.558
D16,蜱傳腦炎病毒,15,7,21/43,0.4883720930232558,0.488
D05,腸道病原集合,16,5,15/43,0.3488372093023256,0.349
D07,E 型肝炎病毒,17,8/3,8/43,0.18604651162790697,0.186
