id,疾病,名次,C1貢獻,C2貢獻,C3貢獻,C4貢獻,C5貢獻,原始分數精確值,原始分數,正規化精確值,正規化分數
D01,炭疽病,1,5,3,4,4/3,1,43/3,14.333333333333334,1,1.0
D08,日本腦炎,2,5,3,4,2,0,14,14.0,42/43,0.9767441860465116
D09,鉤端螺旋體病,2,5,3,4,2,0,14,14.0,42/43,0.9767441860465116
D15,狂犬病,4,5,0,4,2,0,11,11.0,33/43,0.7674418604651163
D13,鼠疫,5,5,0,8/3,2,1,32/3,10.666666666666666,32/43,0.7441860465116279
D03,布氏桿菌病,6,0,3,4,2,1,10,10.0,30/43,0.6976744186046512
D12,立百病毒,6,5,3,4/3,2/3,0,10,10.0,30/43,0.6976744186046512
D02,牛結核病,8,5,0,4,2/3,0,29/3,9.666666666666666,29/43,0.6744186046511628
D11,類鼻疽,9,5,0,8/3,2/3,1,28/3,9.333333333333334,28/43,0.6511627906976745
D17,西尼羅病毒,10,5,0,8/3,4/3,0,9,9.0,27/43,0.627906976744186
D14,Q 熱,11,0,3,4,2/3,1,26/3,8.666666666666666,26/43,0.6046511627906976
D04,囊蟲病,12,5,0,8/3,2/3,0,25/3,8.333333333333334,25/43,0.5813953488372093
D10,萊姆病,12,5,0,8/3,2/3,0,25/3,8.333333333333334,25/43,0.5813953488372093
D06,漢他病毒,14,5,0,4/3,2/3,1,8,8.0,24/43,0.5581395348837209
D16,蜱傳腦炎病毒,15,5,0,4/3,2/3,0,7,7.0,21/43,0.4883720930232558
D05,腸道病原集合,16,0,0,8/3,4/3,1,5,5.0,15/43,0.3488372093023256
D07,E 型肝炎病毒,17,0,0,4/3,4/3,0,8/3,2.6666666666666665,8/43,0.18604651162790697
